"word","pos","definition_ko","ipa","forms"
"dictionary","noun","사전, 자서, 자전, 옥편","/ˈdɪk.ʃəˌnɛ.ɹi/","[{""form"": ""dictionaries"", ""tags"": [""plural""]}, {""form"": ""dictionnary"", ""tags"": [""alternative""]}, {""form"": ""dixnary"", ""tags"": [""alternative""]}]"
"dictionary","verb","사전에 등재하다, 사전을 편찬하다","/ˈdɪk.ʃəˌnɛ.ɹi/","[{""form"": ""dictionaries"", ""tags"": [""present"", ""singular"", ""third-person""]}, {""form"": ""dictionarying"", ""tags"": [""participle"", ""present""]}, {""form"": ""dictionaried"", ""tags"": [""participle"", ""past""]}, {""form"": ""dictionaried"", ""tags"": [""past""]}]"
"free","adj","자유, 자유적(自由的)이다, 막힘없다, 자의, 자유롭다","/fɹiː/","[{""form"": ""freer"", ""tags"": [""comparative""]}, {""form"": ""more free"", ""tags"": [""comparative""]}, {""form"": ""freest"", ""tags"": [""superlative""]}, {""form"": ""most free"", ""tags"": [""superlative""]}]"
"free","adv","자유롭게, 공짜로, 거침없이","/fɹiː/","[{""form"": ""more free"", ""tags"": [""comparative""]}, {""form"": ""most free"", ""tags"": [""superlative""]}]"
"free","verb","해방(解放)하다","/fɹiː/","[{""form"": ""frees"", ""tags"": [""present"", ""singular"", ""third-person""]}, {""form"": ""freeing"", ""tags"": [""participle"", ""present""]}, {""form"": ""freed"", ""tags"": [""participle"", ""past""]}, {""form"": ""freed"", ""tags"": [""past""]}]"
"free","noun","자유, 자유적(自由的)이다, 막힘없다, 자의, 자유롭다","/fɹiː/","[{""form"": ""frees"", ""tags"": [""plural""]}]"
"cat","verb","슬그머니 걷다","/ˈkæt/","[{""form"": ""cats"", ""tags"": [""present"", ""singular"", ""third-person""]}, {""form"": ""catting"", ""tags"": [""participle"", ""present""]}, {""form"": ""catted"", ""tags"": [""participle"", ""past""]}]"
"cat","noun","고양이","/ˈkæt/","[{""form"": ""cats"", ""tags"": [""plural""]}, {""form"": ""Cats"", ""tags"": [""plural""]}]"
"cat","adj","끔찍한, 지독한","/ˈkæt/","[]"
"word","noun","말, 낱말, 단어, 마디, 약속, 복음, 말씀","/wɜːd/","[{""form"": ""words"", ""tags"": [""plural""]}, {""form"": ""wurd"", ""tags"": [""alternative"", ""pronunciation-spelling""]}, {""form"": ""worde"", ""tags"": [""alternative"", ""obsolete""]}]"
